"","cbsa","place","age_group","estimate","moe"
"1","Sonora, CA Micro Area","Phoenix Lake CDP","18-64",176,116
"2","Sonora, CA Micro Area","Phoenix Lake CDP","65+",297,137
"3","Sonora, CA Micro Area","Sonora city","18-64",90,65
"4","Sonora, CA Micro Area","Sonora city","65+",312,83
"5","Sonora, CA Micro Area","East Sonora CDP","18-64",158,147
"6","Sonora, CA Micro Area","East Sonora CDP","65+",212,116
"7","Sonora, CA Micro Area","Pine Mountain Lake CDP","18-64",66,42
"8","Sonora, CA Micro Area","Pine Mountain Lake CDP","65+",277,87
"9","Sonora, CA Micro Area","Jamestown CDP","18-64",145,101
"10","Sonora, CA Micro Area","Jamestown CDP","65+",193,92
"11","Sonora, CA Micro Area","Mono Vista CDP","18-64",196,124
"12","Sonora, CA Micro Area","Mono Vista CDP","65+",93,71
"13","Sonora, CA Micro Area","Columbia CDP","18-64",75,68
"14","Sonora, CA Micro Area","Columbia CDP","65+",211,88
"15","Sonora, CA Micro Area","Soulsbyville CDP","18-64",75,70
"16","Sonora, CA Micro Area","Soulsbyville CDP","65+",125,75
"17","Sonora, CA Micro Area","Twain Harte CDP","18-64",141,116
"18","Sonora, CA Micro Area","Twain Harte CDP","65+",51,45
"19","Sonora, CA Micro Area","Tuolumne City CDP","18-64",110,101
"20","Sonora, CA Micro Area","Tuolumne City CDP","65+",19,29
